index,name,set,rarity,cardNumber,condition,finish,quantity,marketPrice,priceDelta,priceDeltaPercent,trend,imageUrl,imageAlt
223,Hextech Anomaly,Spiritforged,Rare,083/221,Near Mint,Foil,2,0.18,0,0,flat,https://public.getcollectr.com/public-assets/products/product_666588.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Hextech Anomaly 
224,Ohm,Adventure on Kami's Island,R,OP15-061,Near Mint,Foil,1,0.18,-0.02,-10,down,https://public.getcollectr.com/public-assets/products/product_685410.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Ohm 
225,Monkey.D.Luffy - OP14-34,The Azure Sea's Seven,R,OP14-034,Near Mint,Foil,1,0.18,-0.01,-5.26,down,https://public.getcollectr.com/public-assets/products/product_671375.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Monkey.D.Luffy - OP14-34 
226,Aphelios - Exalted,Spiritforged,Rare,049/221,Near Mint,Foil,1,0.18,-0.02,-10,down,https://public.getcollectr.com/public-assets/products/product_665143.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Aphelios - Exalted 
227,Master Yi - Tempered,Unleashed,Rare,113/219,Near Mint,Foil,1,0.18,0.02,12.5,up,https://public.getcollectr.com/public-assets/products/product_684600.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Master Yi - Tempered 
228,Yone - Blademaster,Spiritforged,Rare,116/221,Near Mint,Foil,2,0.17,-0.06,-26.09,down,https://public.getcollectr.com/public-assets/products/product_664972.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Yone - Blademaster 
229,Rek'sai - Void Burrower,Spiritforged,Rare,187/221,Near Mint,Foil,1,0.17,0.01,6.25,up,https://public.getcollectr.com/public-assets/products/product_664922.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Rek'sai - Void Burrower 
230,Sivir - Mercenary,Spiritforged,Rare,143/221,Near Mint,Foil,1,0.17,-0.12,-41.38,down,https://public.getcollectr.com/public-assets/products/product_666600.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Sivir - Mercenary 
231,Sanji (EB04-052),Adventure on Kami's Island,R,EB04-052,Near Mint,Foil,1,0.17,-0.06,-26.09,down,https://public.getcollectr.com/public-assets/products/product_685322.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Sanji (EB04-052) 
232,Smoker & Tashigi,Adventure on Kami's Island,R,EB04-003,Near Mint,Foil,3,0.17,-0.01,-5.56,down,https://public.getcollectr.com/public-assets/products/product_685299.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Smoker & Tashigi 
233,Stussy,Extra Booster: One Piece Heroine's Edition,R,EB03-043,Near Mint,Foil,1,0.17,0,0,flat,https://public.getcollectr.com/public-assets/products/product_672793.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Stussy 
234,Heatmor,White Flare,Uncommon,019/086,Near Mint,Reverse Holofoil,1,0.17,0,0,flat,https://public.getcollectr.com/public-assets/products/product_642131.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Heatmor 
235,Jax - Grandmaster At Arms,Spiritforged,Rare,193/221,Near Mint,Foil,3,0.16,-0.07,-30.43,down,https://public.getcollectr.com/public-assets/products/product_664925.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Jax - Grandmaster At Arms 
236,Tony Tony.Chopper (OP15-107),Adventure on Kami's Island,UC,OP15-107,Near Mint,Normal,1,0.16,0.05,45.45,up,https://public.getcollectr.com/public-assets/products/product_685462.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Tony Tony.Chopper (OP15-107) 
237,Usopp,Adventure on Kami's Island,R,OP15-024,Near Mint,Foil,1,0.16,-0.03,-15.79,down,https://public.getcollectr.com/public-assets/products/product_685365.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Usopp 
238,Black Rope Dragon Twister,Adventure on Kami's Island,R,EB04-059,Near Mint,Foil,1,0.16,0.02,14.29,up,https://public.getcollectr.com/public-assets/products/product_685331.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Black Rope Dragon Twister 
239,Gol.D.Roger (003),Carrying On His Will,L,OP13-003,Near Mint,Normal,1,0.16,0.02,14.29,up,https://public.getcollectr.com/public-assets/products/product_657254.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Gol.D.Roger (003) 
240,Terapagos,Surging Sparks,Rare,161/191,Near Mint,Holofoil,1,0.16,0.01,6.67,up,https://public.getcollectr.com/public-assets/products/product_590077.png?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Terapagos 
241,Mistfall,Origins,Rare,152/298,Near Mint,Foil,1,0.16,-0.05,-23.81,down,https://public.getcollectr.com/public-assets/products/product_652937.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Mistfall 
242,Arlong,The Azure Sea's Seven,R,OP14-042,Near Mint,Foil,1,0.15,0.04,36.36,up,https://public.getcollectr.com/public-assets/products/product_671381.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Arlong 
243,Vista,Carrying On His Will,R,OP13-046,Near Mint,Foil,1,0.15,0,0,flat,https://public.getcollectr.com/public-assets/products/product_657305.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Vista 
244,Conscription,Unleashed,Rare,140/219,Near Mint,Foil,1,0.15,0.04,36.36,up,https://public.getcollectr.com/public-assets/products/product_686331.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Conscription 
245,Spewpa,Surging Sparks,Common,006/191,Near Mint,Reverse Holofoil,1,0.15,0.02,15.38,up,https://public.getcollectr.com/public-assets/products/product_590061.png?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Spewpa 
246,Bard - Mercurial,Spiritforged,Rare,079/221,Near Mint,Foil,1,0.14,0.01,7.69,up,https://public.getcollectr.com/public-assets/products/product_666442.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Bard - Mercurial 
247,Altar of Memories,Spiritforged,Rare,169/221,Near Mint,Foil,2,0.14,0,0,flat,https://public.getcollectr.com/public-assets/products/product_664966.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Altar of Memories 
248,Sacred Shears,Spiritforged,Rare,172/221,Near Mint,Foil,2,0.14,-0.03,-17.65,down,https://public.getcollectr.com/public-assets/products/product_666487.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Sacred Shears 
249,Rek'Sai - Swarm Queen,Spiritforged,Rare,170/221,Near Mint,Foil,1,0.14,-0.03,-17.65,down,https://public.getcollectr.com/public-assets/products/product_665031.png?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Rek'Sai - Swarm Queen 
250,Renata Glasc - Chem-Baroness,Spiritforged,Rare,201/221,Near Mint,Foil,1,0.14,-0.03,-17.65,down,https://public.getcollectr.com/public-assets/products/product_663439.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Renata Glasc - Chem-Baroness 
251,Rell - Magnetic,Spiritforged,Rare,024/221,Near Mint,Foil,1,0.14,0.03,27.27,up,https://public.getcollectr.com/public-assets/products/product_665013.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Rell - Magnetic 
252,Ornn - Fire Below the Mountain,Spiritforged,Rare,189/221,Near Mint,Foil,1,0.14,-0.01,-6.67,down,https://public.getcollectr.com/public-assets/products/product_664924.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Ornn - Fire Below the Mountain 
253,Ever White,The Azure Sea's Seven,R,OP14-076,Near Mint,Foil,1,0.14,0,0,flat,https://public.getcollectr.com/public-assets/products/product_671411.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Ever White 
254,Ulti,Extra Booster: One Piece Heroine's Edition,R,EB03-039,Near Mint,Foil,1,0.14,0.05,55.56,up,https://public.getcollectr.com/public-assets/products/product_672787.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Ulti 
255,Lim,Extra Booster: One Piece Heroine's Edition,R,EB03-037,Near Mint,Foil,1,0.14,0,0,flat,https://public.getcollectr.com/public-assets/products/product_672785.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Lim 
256,Otama,Extra Booster: One Piece Heroine's Edition,R,EB03-012,Near Mint,Foil,1,0.14,0,0,flat,https://public.getcollectr.com/public-assets/products/product_672753.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Otama 
257,Diana - Scorn of the Moon,Unleashed,Rare,197/219,Near Mint,Foil,1,0.14,-0.01,-6.67,down,https://public.getcollectr.com/public-assets/products/product_684103.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Diana - Scorn of the Moon 
258,Lillia - Bashful Bloom,Unleashed,Rare,189/219,Near Mint,Foil,1,0.14,-0.01,-6.67,down,https://public.getcollectr.com/public-assets/products/product_684102.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Lillia - Bashful Bloom 
259,World Atlas,Spiritforged,Rare,086/221,Near Mint,Foil,2,0.13,-0.03,-18.75,down,https://public.getcollectr.com/public-assets/products/product_664963.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,World Atlas 
260,Kuro,Adventure on Kami's Island,R,OP15-025,Near Mint,Foil,1,0.13,-0.07,-35,down,https://public.getcollectr.com/public-assets/products/product_685366.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Kuro 
261,Fiora - Grand Duelist,Spiritforged,Rare,205/221,Near Mint,Foil,1,0.13,0,0,flat,https://public.getcollectr.com/public-assets/products/product_664928.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Fiora - Grand Duelist 
262,Draven - Glorious Executioner,Spiritforged,Rare,185/221,Near Mint,Foil,1,0.13,0,0,flat,https://public.getcollectr.com/public-assets/products/product_663442.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Draven - Glorious Executioner 
263,Zoroark,White Flare,Rare,062/086,Near Mint,Holofoil,1,0.13,-0.02,-13.33,down,https://public.getcollectr.com/public-assets/products/product_642174.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Zoroark 
264,Electabuzz,Temporal Forces,Common,053/162,Near Mint,Reverse Holofoil,1,0.13,0.01,8.33,up,https://public.getcollectr.com/public-assets/products/product_542797.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Electabuzz 
265,Kyoshirou,Romance Dawn,UC,OP01-095,Near Mint,Normal,1,0.11,0,0,flat,https://public.getcollectr.com/public-assets/products/product_454628.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Kyoshirou 
266,Kyros,Adventure on Kami's Island,R,OP15-042,Near Mint,Foil,1,0.11,-0.04,-26.67,down,https://public.getcollectr.com/public-assets/products/product_685386.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Kyros 
267,Rebecca (OP15-039),Adventure on Kami's Island,L,OP15-039,Near Mint,Normal,1,0.1,0,0,flat,https://public.getcollectr.com/public-assets/products/product_685382.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Rebecca (OP15-039) 
268,Brambleghast,Temporal Forces,Rare,021/162,Near Mint,Holofoil,1,0.1,0.01,11.11,up,https://public.getcollectr.com/public-assets/products/product_542765.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Brambleghast 
269,Magcargo,Temporal Forces,Rare,029/162,Near Mint,Holofoil,1,0.1,-0.02,-16.67,down,https://public.getcollectr.com/public-assets/products/product_542773.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Magcargo 
270,Albus Ferros,Origins,Rare,230/298,Near Mint,Foil,1,0.09,-0.02,-18.18,down,https://public.getcollectr.com/public-assets/products/product_653024.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Albus Ferros 
271,Miss Doublefinger(Zala),Romance Dawn,C,OP01-080,Near Mint,Normal,1,0.08,0,0,flat,https://public.getcollectr.com/public-assets/products/product_454611.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Miss Doublefinger(Zala) 
272,Mocha,Romance Dawn,C,OP01-081,Near Mint,Normal,1,0.08,0.01,14.29,up,https://public.getcollectr.com/public-assets/products/product_454612.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Mocha 
273,Fukurokuju,Romance Dawn,C,OP01-110,Near Mint,Normal,1,0.07,0,0,flat,https://public.getcollectr.com/public-assets/products/product_454645.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Fukurokuju 
274,Jae Medarda,Spiritforged,Rare,142/221,Near Mint,Foil,1,0.07,-0.06,-46.15,down,https://public.getcollectr.com/public-assets/products/product_666488.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Jae Medarda 
275,Delphox - 013/086 (Chaos Rising Stamped),Miscellaneous Cards & Products,Rare,013/086,Near Mint,Holofoil,1,0,0,0,flat,https://public.getcollectr.com/public-assets/products/product_694677.jpg?optimizer=image&format=webp&width=1200&quality=80&strip=metadata,Delphox - 013/086 (Chaos Rising Stamped) 
